INDICE;NOME;COMENTARIO;ICONE;ALTITUDE;DATA;ANGULO;DISPLAY;ZONA;Y;X;TIPO;LOCAL;DIMENSAO;TESTE
135;135;29/6/2011;101;412,28809;30/12/1989 21:00:00;0;0;21K;7538269,119;727782,913;6;CALCADA;P;1
136;136;29/6/2011;101;413,48975;30/12/1989 21:00:00;0;0;21K;7538333,276;728088,502;6;TERRENO;M;2
138;138;29/6/2011;101;418,5365;30/12/1989 21:00:00;0;0;21K;7538493,617;728068,79;6;TERRENO;P;1
140;140;29/6/2011;101;415,41235;30/12/1989 21:00:00;0;0;21K;7538655,485;728051,268;2;TERRENO;G;3
141;141;29/6/2011;101;414,21069;30/12/1989 21:00:00;0;0;21K;7538647,708;727864,843;6;CALCADA;P;1
142;142;29/6/2011;101;418,5365;30/12/1989 21:00:00;0;0;21K;7538512,754;728248,914;6;CALCADA;P;1
143;143;29/6/2011;101;418,29614;30/12/1989 21:00:00;0;0;21K;7538733,588;728336,214;6;CALCADA;M;2
144;144;29/6/2011;101;421,18018;30/12/1989 21:00:00;0;0;21K;7538720,444;728185,64;6;CALCADA;P;1
147;147;29/6/2011;101;410,84595;30/12/1989 21:00:00;0;0;21K;7538567,106;727749,252;6;CALCADA;P;1
148;148;29/6/2011;101;424,54468;30/12/1989 21:00:00;0;0;21K;7538581,937;727802,436;6;CALCADA;P;1
149;149;29/6/2011;101;423,82373;30/12/1989 21:00:00;0;0;21K;7538595,619;727828,696;2;CALCADA;P;1
150;150;29/6/2011;101;421,90112;30/12/1989 21:00:00;0;0;21K;7538602,11;727884,602;5;CALCADA;M;2
151;151;29/6/2011;101;426,46729;30/12/1989 21:00:00;0;0;21K;7538603,861;727910,877;6;CALCADA;P;1
152;152;29/6/2011;101;424,06396;30/12/1989 21:00:00;0;0;21K;7538616,983;727997,107;6;TERRENO;M;2
154;154;29/6/2011;101;428,39001;30/12/1989 21:00:00;0;0;21K;7538635,912;728206,176;3;TERRENO;M;2
158;158;29/6/2011;101;422,62207;30/12/1989 21:00:00;0;0;21K;7538570,385;728219,721;6;TERRENO;P;1
160;160;29/6/2011;101;426,948;30/12/1989 21:00:00;0;0;21K;7538536,834;728027,095;6;TERRENO;P;1
161;161;29/6/2011;101;423,34302;30/12/1989 21:00:00;0;0;21K;7538528,486;727954,16;2;TERRENO;M;2
162;162;29/6/2011;101;419,73816;30/12/1989 21:00:00;0;0;21K;7538524,325;727872,903;6;CALCADA;P;1
163;163;29/6/2011;101;419,4978;30/12/1989 21:00:00;0;0;21K;7538519,568;727775,897;6;TERRENO;M;2
164;164;29/6/2011;101;415,41235;30/12/1989 21:00:00;0;0;21K;7538454,765;727738,026;2;CALCADA;P;1
166;166;29/6/2011;101;419,73816;30/12/1989 21:00:00;0;0;21K;7538415,497;728390,254;6;CALCADA;P;1
167;167;29/6/2011;101;425,74634;30/12/1989 21:00:00;0;0;21K;7538406,264;728304,886;6;CALCADA;P;1
168;168;29/6/2011;101;424,06396;30/12/1989 21:00:00;0;0;21K;7538383,427;727954,918;6;CALCADA;P;1
169;169;29/6/2011;101;421,90112;30/12/1989 21:00:00;0;0;21K;7538354,572;727754,022;6;CALCADA;P;1
170;170;29/6/2011;101;422,14136;30/12/1989 21:00:00;0;0;21K;7539165,589;728260,378;6;TERRENO;M;2
172;172;29/6/2011;101;419,97852;30/12/1989 21:00:00;0;0;21K;7539230,766;727653,125;2;RUA;M;2
174;174;29/6/2011;101;412,28809;30/12/1989 21:00:00;0;0;21K;7538778,103;728032,619;6;TERRENO;M;2
175;175;29/6/2011;101;410,60559;30/12/1989 21:00:00;0;0;21K;7539123,181;728201,662;5;CALCADA;P;1
176;176;29/6/2011;101;409,40405;30/12/1989 21:00:00;0;0;21K;7539104,958;728114,448;4;CALCADA;P;1
177;177;29/6/2011;101;411,0863;30/12/1989 21:00:00;0;0;21K;7539055,485;727596,63;1;CALCADA;EG;4
178;178;29/6/2011;101;398,10876;30/12/1989 21:00:00;0;0;21K;7539036,976;727421,256;6;APP;M;2
179;179;29/6/2011;101;408,20239;30/12/1989 21:00:00;0;0;21K;7538744,511;727565,98;6;CALCADA;M;2
180;180;29/6/2011;101;403,63623;30/12/1989 21:00:00;0;0;21K;7538704,836;727367,439;2;APP;M;2
181;181;29/6/2011;101;404,83777;30/12/1989 21:00:00;0;0;21K;7538652,389;727550,642;1;CALCADA;P;1
182;182;29/6/2011;101;414,69128;30/12/1989 21:00:00;0;0;21K;7538580,196;727627,856;3;TERRENO;M;2
184;184;29/6/2011;101;401,71362;30/12/1989 21:00:00;0;0;21K;7538450,551;727359,384;6;TERRENO;P;1
185;185;29/6/2011;101;402,67493;30/12/1989 21:00:00;0;0;21K;7538476,433;727422,072;6;TERRENO;P;1
186;186;29/6/2011;101;408,92334;30/12/1989 21:00:00;0;0;21K;7538478,105;727474,207;6;TERRENO;P;1
187;187;29/6/2011;101;407,7218;30/12/1989 21:00:00;0;0;21K;7538497,661;727631,854;2;TERRENO;M;2
188;188;29/6/2011;101;406,76038;30/12/1989 21:00:00;0;0;21K;7538722,833;727528,324;5;CALCADA;P;1
189;189;29/6/2011;101;403,63623;30/12/1989 21:00:00;0;0;21K;7538816,863;727496,297;4;TERRENO;P;1
190;190;29/6/2011;101;399,06995;30/12/1989 21:00:00;0;0;21K;7538802,065;727255,444;4;TERRENO;P;1
191;191;29/6/2011;101;467,80371;30/12/1989 21:00:00;0;0;21K;7542356,924;721823,89;7;TERRENO;P;1
192;192;29/6/2011;101;451,94214;30/12/1989 21:00:00;0;0;21K;7543293,196;721561,066;6;BEIRAESTRADA;EG;4
193;193;29/6/2011;101;457,9502;30/12/1989 21:00:00;0;0;21K;7542786,164;721697,39;5;RUA;G;3
194;194;29/6/2011;101;465,8811;30/12/1989 21:00:00;0;0;21K;7542779,697;721392,661;5;CALCADA;M;2
195;195;29/6/2011;101;462,99719;30/12/1989 21:00:00;0;0;21K;7542281,674;721448,955;1;BEIRAESTRADA;EG;4
196;196;29/6/2011;101;444,49194;30/12/1989 21:00:00;0;0;21K;7541577,609;721276,149;6;CALCADA;M;2
199;199;29/6/2011;101;450,98071;30/12/1989 21:00:00;0;0;21K;7540947,28;723844,947;5;TERRENO;M;2
201;201;29/6/2011;101;444,49194;30/12/1989 21:00:00;0;0;21K;7541018,248;723477,024;6;CALCADA;P;1
202;202;29/6/2011;101;433,43689;30/12/1989 21:00:00;0;0;21K;7540466,295;723998,237;6;TERRENO;P;1
203;203;29/6/2011;101;431,51428;30/12/1989 21:00:00;0;0;21K;7540976,149;722803,628;3;TERRENO;M;2
205;205;29/6/2011;101;441,60791;30/12/1989 21:00:00;0;0;21K;7540693,275;722831,229;6;CALCADA;M;2
207;207;29/6/2011;101;453,14368;30/12/1989 21:00:00;0;0;21K;7540808,955;722729,355;6;TERRENO;M;2
208;208;29/6/2011;101;434,15784;30/12/1989 21:00:00;0;0;21K;7540487,806;722851,566;6;TERRENO;M;2
210;210;29/6/2011;101;441,84827;30/12/1989 21:00:00;0;0;21K;7540579,274;722588,937;5;CALCADA;P;1
211;211;29/6/2011;101;438,00305;30/12/1989 21:00:00;0;0;21K;7540519,361;722657,894;6;CALCADA;P;1
212;212;29/6/2011;101;431,51428;30/12/1989 21:00:00;0;0;21K;7540419,557;722806,602;6;CALCADA;P;1
213;213;29/6/2011;101;434,15784;30/12/1989 21:00:00;0;0;21K;7540644,302;722622,817;2;CALCADA;G;3
214;214;29/6/2011;101;435,11914;30/12/1989 21:00:00;0;0;21K;7540683,992;722484,789;5;CALCADA;M;2
215;215;29/6/2011;101;434,63855;30/12/1989 21:00:00;0;0;21K;7540664,674;722472,869;6;CALCADA;M;2
216;216;29/6/2011;101;435,3595;30/12/1989 21:00:00;0;0;21K;7540317,747;723078,026;2;CALCADA;P;1
217;217;29/6/2011;101;426,948;30/12/1989 21:00:00;0;0;21K;7540321,709;722818,897;5;CALCADA;P;1
218;218;29/6/2011;101;429,59167;30/12/1989 21:00:00;0;0;21K;7540045,204;722946,554;6;CALCADA;M;2
220;220;29/6/2011;101;436,08044;30/12/1989 21:00:00;0;0;21K;7540669,261;722110,982;4;CALCADA;P;1
221;221;29/6/2011;101;435,84009;30/12/1989 21:00:00;0;0;21K;7540485,804;722352,664;6;CALCADA;P;1
222;222;29/6/2011;101;437,52234;30/12/1989 21:00:00;0;0;21K;7540768,587;722875,033;2;CALCADA;M;2
223;223;29/6/2011;101;438,96436;30/12/1989 21:00:00;0;0;21K;7540607,876;722955,421;5;CALCADA;M;2
224;224;29/6/2011;101;435,3595;30/12/1989 21:00:00;0;0;21K;7540442,151;722632,588;6;TERRENO;M;2
225;225;29/6/2011;101;433,91748;30/12/1989 21:00:00;0;0;21K;7540487,177;722174,095;2;CALCADA;P;1
